_raw,_time,host,source,sourcetype,index,,
"{""device"": ""AP11-17.site1"", ""kpi"": ""clientCount"", ""site"": ""RAW_site1"", ""value"": 1}",2019-01-17T06:26:10.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP11-17.site1"", ""kpi"": ""rf_load_TX_5GHz"", ""site"": ""RAW_site1"", ""value"": 3}",2019-01-17T06:26:10.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP11-17.site1"", ""kpi"": ""clientCount_5GHz"", ""site"": ""RAW_site1"", ""value"": 1}",2019-01-17T06:26:10.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP06-19.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:09.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP02-12.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:09.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP10-12.site1"", ""kpi"": ""rf_channelUtilization_5GHz"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:09.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP14-14.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:08.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP13-19.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 11.76}",2019-01-17T06:26:07.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP06-10.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:07.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP12-10.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:07.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP12-10.site1"", ""kpi"": ""rf_channelUtilization_5GHz"", ""site"": ""RAW_site1"", ""value"": 11.76}",2019-01-17T06:26:07.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP14-08.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 4.71}",2019-01-17T06:26:07.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
